PM_ID	Title	Abstract	Journal	Year	PMC_ID	DOI	Type	Author
7654314	Metabolic engineering of Escherichia coli to enhance recombinant protein production through acetate reduction.	Genetic and metabolic engineering provide powerful and effective tools for the systematic manipulation and fine tuning of cellular metabolic activities. In this study, successful application of such techniques to enhance recombinant protein production by reducing acetate accumulation in Escherichia coli is presented. The alsS gene from Bacillus subtilis encoding the enzyme acetolactate synthase was introduced into E. coli cells using a multicopy plasmid. This newly introduced heterologous enzyme modifies the glycolytic fluxes by redirecting excess pyruvate away from acetate to acetolactate. Acetolactate is then converted to a nonacidic and less harmful byproduct acetoin, which appears in the broth. Furthermore, comparative fermentation studies show that the reduction in acetate accumulation leads to a significant improvement of recombinant protein production. The expression of a model recombinant CadA/beta-galactosidase fusion protein, under the control of a strong pH-regulated promoter, was found to increase by about 60% for the specific protein activity (to a level of 30% of total cellular protein) and 50% in terms of the volumetric activity in a batch fermenter. In fed-batch cultivation, the engineered strain achieved a volumetric recombinant protein yield of 1.6 million units/mL (about 1.1 g/L of beta-galactosidase), which represented a 220% enhancement over the control strain. In the meantime, acetate excretion was maintained below 20 mM compared with 80 mM for the control, and the final cell density was improved by 35%.	Biotechnology progress	1995		10.1021/bp00034a019	Journal Article,Research Support, Non-U.S. Gov't,Research Support, U.S. Gov't, Non-P.H.S.,	[ForeName:A A,LastName:Aristidou] [ForeName:K Y,LastName:San] [ForeName:G N,LastName:Bennett]
23335776	Efficient production of active polyhydroxyalkanoate synthase in Escherichia coli by coexpression of molecular chaperones.	The type I polyhydroxyalkanoate synthase from Cupriavidus necator was heterologously expressed in Escherichia coli with simultaneous overexpression of chaperone proteins. Compared to expression of synthase alone (14.55 mg liter(-1)), coexpression with chaperones resulted in the production of larger total quantities of enzyme, including a larger proportion in the soluble fraction. The largest increase was seen when the GroEL/GroES system was coexpressed, resulting in approximately 6-fold-greater enzyme yields (82.37 mg liter(-1)) than in the absence of coexpressed chaperones. The specific activity of the purified enzyme was unaffected by coexpression with chaperones. Therefore, the increase in yield was attributed to an enhanced soluble fraction of synthase. Chaperones were also coexpressed with a polyhydroxyalkanoate production operon, resulting in the production of polymers with generally reduced molecular weights. This suggests a potential use for chaperones to control the physical properties of the polymer.	Applied and environmental microbiology	2013	3592256.0	10.1128/AEM.02881-12	Journal Article,Research Support, Non-U.S. Gov't,	[ForeName:Nicholas M,LastName:Thomson] [ForeName:Azusa,LastName:Saika] [ForeName:Kazunori,LastName:Ushimaru] [ForeName:Smith,LastName:Sangiambut] [ForeName:Takeharu,LastName:Tsuge] [ForeName:David K,LastName:Summers] [ForeName:Easan,LastName:Sivaniah]
18243023	Combinatorial pathway analysis for improved L-tyrosine production in Escherichia coli: identification of enzymatic bottlenecks by systematic gene overexpression.	Combinatorial overexpression of aromatic amino acid biosynthesis (AAAB) genes in the L-tyrosine producing Escherichia coli strains T1 and T2 was employed to search for AAAB reactions limiting L-tyrosine production. All AAAB genes except aroG and tyrA, which were substituted by their feedback resistant derivatives in the host strains, were cloned and overexpressed. A total of 72 different strains overexpressing various AAAB gene combinations were generated and from those strains with improved phenotype, enzymatic bottlenecks of the AAAB pathway could be inferred. The two major gene overexpression targets for increased L-tyrosine production in E. coli were ydiB and aroK, coding for a shikimate dehydrogenase and a shikimate kinase, respectively, and the combination of ydiB and aroK for overexpression resulted in the best L-tyrosine producing strains in this study, yielding 45% for strain T1 and 26% for strain T2, respectively, higher L-tyrosine titers. Interestingly, overexpression studies with combinations of more than one gene revealed that new gene targets could be identified when overexpessed together with other genes but not alone as single gene overexpression. For example, tyrB encoding the last enzyme of the AAAB pathway, an aromatic amino acid transaminase, improved L-tyrosine production significantly when co-overexpressed together with ydiB or aroK, but not when overexpressed alone. It is also noteworthy that E. coli T1, which generally yielded less L-tyrosine, was amenable to greater improvements than strain T2, i.e. E. coli T1 exhibited generally more space for phenotype improvement.	Metabolic engineering	2008		10.1016/j.ymben.2007.12.001	Journal Article,Research Support, Non-U.S. Gov't,	[ForeName:Tina,LastName:Lütke-Eversloh] [ForeName:Gregory,LastName:Stephanopoulos]
19648908	Synthetic protein scaffolds provide modular control over metabolic flux.	Engineered metabolic pathways constructed from enzymes heterologous to the production host often suffer from flux imbalances, as they typically lack the regulatory mechanisms characteristic of natural metabolism. In an attempt to increase the effective concentration of each component of a pathway of interest, we built synthetic protein scaffolds that spatially recruit metabolic enzymes in a designable manner. Scaffolds bearing interaction domains from metazoan signaling proteins specifically accrue pathway enzymes tagged with their cognate peptide ligands. The natural modularity of these domains enabled us to optimize the stoichiometry of three mevalonate biosynthetic enzymes recruited to a synthetic complex and thereby achieve 77-fold improvement in product titer with low enzyme expression and reduced metabolic load. One of the same scaffolds was used to triple the yield of glucaric acid, despite high titers (0.5 g/l) without the synthetic complex. These strategies should prove generalizeable to other metabolic pathways and programmable for fine-tuning pathway flux.	Nature biotechnology	2009		10.1038/nbt.1557	Journal Article,Research Support, Non-U.S. Gov't,Research Support, U.S. Gov't, Non-P.H.S.,	[ForeName:John E,LastName:Dueber] [ForeName:Gabriel C,LastName:Wu] [ForeName:G Reza,LastName:Malmirchegini] [ForeName:Tae Seok,LastName:Moon] [ForeName:Christopher J,LastName:Petzold] [ForeName:Adeeti V,LastName:Ullal] [ForeName:Kristala L J,LastName:Prather] [ForeName:Jay D,LastName:Keasling]
23376594	Engineering improved ethanol production in Escherichia coli with a genome-wide approach.	A key challenge to the commercial production of commodity chemical and fuels is the toxicity of such molecules to the microbial host. While a number of studies have attempted to engineer improved tolerance for such compounds, the majority of these studies have been performed in wild-type strains and culturing conditions that differ considerably from production conditions. Here we applied the multiscalar analysis of library enrichments (SCALEs) method and performed a growth selection in an ethanol production system to quantitatively map in parallel all genes in the genome onto ethanol tolerance and production. In order to perform the selection in an ethanol-producing system, we used a previously engineered Escherichia coli ethanol production strain (LW06; ATCC BAA-2466) (Woodruff et al., in press), as the host strain for the multiscalar genomic library analysis (>10(6) clones for each library of 1, 2, or 4kb overlapping genomic fragments). By testing individually selected clones, we confirmed that growth selections enriched for clones with both improved ethanol tolerance and production phenotypes. We performed combinatorial testing of the top genes identified (uspC, otsA, otsB) to investigate their ability to confer improved ethanol tolerance or ethanol production. We determined that overexpression of otsA was required for improved tolerance and productivity phenotypes, with the best performing strains showing up to 75% improvement relative to the parent production strain.	Metabolic engineering	2013		10.1016/j.ymben.2013.01.006	Journal Article,Research Support, U.S. Gov't, P.H.S.,	[ForeName:Lauren B A,LastName:Woodruff] [ForeName:Nanette R,LastName:Boyle] [ForeName:Ryan T,LastName:Gill]
19304817	Metabolic engineering of Escherichia coli for enhanced production of (R)- and (S)-3-hydroxybutyrate.	Synthetic metabolic pathways have been constructed for the production of enantiopure (R)- and (S)-3-hydroxybutyrate (3HB) from glucose in recombinant Escherichia coli strains. To promote maximal activity, we profiled three thiolase homologs (BktB, Thl, and PhaA) and two coenzyme A (CoA) removal mechanisms (Ptb-Buk and TesB). Two enantioselective 3HB-CoA dehydrogenases, PhaB, producing the (R)-enantiomer, and Hbd, producing the (S)-enantiomer, were utilized to control the 3HB chirality across two E. coli backgrounds, BL21Star(DE3) and MG1655(DE3), representing E. coli B- and K-12-derived strains, respectively. MG1655(DE3) was found to be superior for the production of each 3HB stereoisomer, although the recombinant enzymes exhibited lower in vitro specific activities than BL21Star(DE3). Hbd in vitro activity was significantly higher than PhaB activity in both strains. The engineered strains achieved titers of enantiopure (R)-3HB and (S)-3HB as high as 2.92 g liter(-1) and 2.08 g liter(-1), respectively, in shake flask cultures within 2 days. The NADPH/NADP+ ratio was found to be two- to three-fold higher than the NADH/NAD+ ratio under the culture conditions examined, presumably affecting in vivo activities of PhaB and Hbd and resulting in greater production of (R)-3HB than (S)-3HB. To the best of our knowledge, this study reports the highest (S)-3HB titer achieved in shake flask E. coli cultures to date.	Applied and environmental microbiology	2009	2681625.0	10.1128/AEM.02667-08	Journal Article,Research Support, Non-U.S. Gov't,Research Support, U.S. Gov't, Non-P.H.S.,	[ForeName:Hsien-Chung,LastName:Tseng] [ForeName:Collin H,LastName:Martin] [ForeName:David R,LastName:Nielsen] [ForeName:Kristala L Jones,LastName:Prather]
22948011	Engineering of L-tyrosine oxidation in Escherichia coli and microbial production of hydroxytyrosol.	The hydroxylation of tyrosine is an important reaction in the biosynthesis of many natural products. The use of bacteria for this reaction has not been very successful due to either the over-oxidation to ortho-quinone when using tyrosinases from bacteria or plants, or the lack of the native cofactor, tetrahydrobiopterin (BH4), needed for the activity of tyrosine hydroxylases (TH). Here, we demonstrate that an Escherichia coli cofactor, tetrahydromonapterin (MH4), can be used as an alternative cofactor for TH in presence of the BH4 regeneration pathway, and tyrosine hydroxylation is performed without over-oxidation. We used this platform for biosynthesis of one of the most powerful antioxidants, hydroxytyrosol. An endogenous aromatic aldehyde oxidase was identified and knocked out to prevent formation of the side product, and this resulted in nearly exclusive production of hydroxytyrosol in engineered E. coli. Finally, hydroxytyrosol production from a simple sugar as a sole carbon source was demonstrated.	Metabolic engineering	2012		10.1016/j.ymben.2012.08.002	Journal Article,Research Support, Non-U.S. Gov't,Research Support, U.S. Gov't, Non-P.H.S.,	[ForeName:Yasuharu,LastName:Satoh] [ForeName:Kenji,LastName:Tajima] [ForeName:Masanobu,LastName:Munekata] [ForeName:Jay D,LastName:Keasling] [ForeName:Taek Soon,LastName:Lee]
24831708	Metabolic evolution of two reducing equivalent-conserving pathways for high-yield succinate production in Escherichia coli.	Reducing equivalents are an important cofactor for efficient synthesis of target products. During metabolic evolution to improve succinate production in Escherichia coli strains, two reducing equivalent-conserving pathways were activated to increase succinate yield. The sensitivity of pyruvate dehydrogenase to NADH inhibition was eliminated by three nucleotide mutations in the lpdA gene. Pyruvate dehydrogenase activity increased under anaerobic conditions, which provided additional NADH. The pentose phosphate pathway and transhydrogenase were activated by increased activities of transketolase and soluble transhydrogenase SthA. These data suggest that more carbon flux went through the pentose phosphate pathway, thus leading to production of more reducing equivalent in the form of NADPH, which was then converted to NADH through soluble transhydrogenase for succinate production. Reverse metabolic engineering was further performed in a parent strain, which was not metabolically evolved, to verify the effects of activating these two reducing equivalent-conserving pathways for improving succinate yield. Activating pyruvate dehydrogenase increased succinate yield from 1.12 to 1.31mol/mol, whereas activating the pentose phosphate pathway and transhydrogenase increased succinate yield from 1.12 to 1.33mol/mol. Activating these two pathways in combination led to a succinate yield of 1.5mol/mol (88% of theoretical maximum), suggesting that they exhibited a synergistic effect for improving succinate yield.	Metabolic engineering	2014		10.1016/j.ymben.2014.05.003	Journal Article,Research Support, Non-U.S. Gov't,	[ForeName:Xinna,LastName:Zhu] [ForeName:Zaigao,LastName:Tan] [ForeName:Hongtao,LastName:Xu] [ForeName:Jing,LastName:Chen] [ForeName:Jinlei,LastName:Tang] [ForeName:Xueli,LastName:Zhang]
23613035	Overexpression of the active diacylglycerol acyltransferase variant transforms Saccharomyces cerevisiae into an oleaginous yeast.	Lipid production by Saccharomyces cerevisiae was improved by overexpression of the yeast diacylglycerol acyltransferase Dga1p lacking the N-terminal 29 amino acids (Dga1∆Np), which was previously found to be an active form in the ∆snf2 mutant. Overexpression of Dga1∆Np in the ∆snf2 mutant, however, did not increase lipid content as expected, which prompted us to search for a more suitable strain in which to study the role of Dga1∆Np in lipid accumulation. We found that the overexpression of Dga1∆Np in the ∆dga1 mutant effectively increased the lipid content up to about 45 % in the medium containing 10 % glucose. The high lipid content of the transformant was dependent on glucose concentration, nitrogen limitation, and active leucine biosynthesis. To better understand the effect of dga1 disruption on the ability of Dga1∆Np to stimulate lipid accumulation, the ∆dga1-1 mutant, in which the 3'-terminal 36 bp of the dga1 open reading frame (ORF) remained, and the ∆dga1-2 mutant, in which the 3'-terminal 36 bp were also deleted, were prepared with URA3 disruption cassettes. Surprisingly, the overexpression of Dga1∆Np in the ∆dga1-1 mutant had a lower lipid content than the original ∆dga1 mutant, whereas overexpression in the ∆dga1-2 mutant led to a high lipid content of about 45 %. These results indicated that deletion of the 3' terminal region of the dga1 ORF, rather than abrogation of genomic Dga1p expression, was crucial for the effect of Dga1∆Np on lipid accumulation. To investigate whether dga1 disruption affected gene expression adjacent to DGA1, we found that the overexpression of Esa1p together with Dga1∆Np in the ∆dga1 mutant reverted the lipid content to the level of the wild-type strain overexpressing Dga1∆Np. In addition, RT-qPCR analysis revealed that ESA1 mRNA expression in the ∆dga1 mutant was decreased compared to the wild-type strain at the early stages of culture, suggesting that lowered Esa1p expression is involved in the effect of dga1 disruption on Dga1∆Np-dependent lipid accumulation. These results provide a new strategy to engineer S. cerevisiae for optimal lipid production.	Applied microbiology and biotechnology	2013		10.1007/s00253-013-4915-9	Journal Article,	[ForeName:Yasushi,LastName:Kamisaka] [ForeName:Kazuyoshi,LastName:Kimura] [ForeName:Hiroshi,LastName:Uemura] [ForeName:Masakazu,LastName:Yamaoka]
10935936	Optimization of ethanol production in Saccharomyces cerevisiae by metabolic engineering of the ammonium assimilation.	Ethanol is still one of the most important products originating from the biotechnological industry with respect to both value and amount. In addition to ethanol, a number of byproducts are formed during an anaerobic fermentation of Saccharomyces cerevisiae. One of the most important of these compounds, glycerol, is produced by yeast to reoxidize NADH, formed in synthesis of biomass and secondary fermentation products, to NAD+. The purpose of this study was to evaluate whether a reduced formation of surplus NADH and an increased consumption of ATP in biosynthesis would result in a decreased glycerol yield and an increased ethanol yield in anaerobic cultivations of S. cerevisiae. A yeast strain was constructed in which GLN1, encoding glutamine synthetase, and GLT1, encoding glutamate synthase, were overexpressed, and GDH1, encoding the NADPH-dependent glutamate dehydrogenase, was deleted. Hereby the normal NADPH-consuming synthesis of glutamate from ammonium and 2-oxoglutarate was substituted by a new pathway in which ATP and NADH were consumed. The resulting strain TN19 (gdh1-A1 PGK1p-GLT1 PGK1p-GLN1) had a 10% higher ethanol yield and a 38% lower glycerol yield compared to the wild type in anaerobic batch fermentations. The maximum specific growth rate of strain TN19 was slightly lower than the wild-type value, but earlier results suggest that this can be circumvented by increasing the specific activities of Gln1p and Glt1p even more. Thus, the results verify the proposed concept of increasing the ethanol yield in S. cerevisiae by metabolic engineering of pathways involved in biomass synthesis.	Metabolic engineering	2000		10.1006/mben.1999.0140	Journal Article,	[ForeName:T L,LastName:Nissen] [ForeName:M C,LastName:Kielland-Brandt] [ForeName:J,LastName:Nielsen] [ForeName:J,LastName:Villadsen]
