,PMID,Title,Year,PMC_ID,Organisms,Products,Genes_and_modifications
0,10618204,Increased production of zeaxanthin and other pigments by application of genetic engineering techniques to Synechocystis sp. strain PCC 6803.,2000,91786,['Synechocystis PCC'],['Carotenoids'],
1,10618209,Expression of Alcaligenes eutrophus flavohemoprotein and engineered Vitreoscilla hemoglobin-reductase fusion protein for improved hypoxic growth of Escherichia coli.,2000,91791,['Escherichia coli'],['Hemoprotein'],
2,10631776,Environmental biotechnology.,2000,,,,
3,10649237,Altered regulation of pyruvate kinase or co-overexpression of phosphofructokinase increases glycolytic fluxes in resting Escherichia coli.,2000,,['Escherichia coli'],['Ethanol'],{'pyk': ['Positive']}
4,10649449,Cloning and characterization of the Yarrowia lipolytica squalene synthase (SQS1) gene and functional complementation of the Saccharomyces cerevisiae erg9 mutation.,2000,,"['Yarrowia lipolytica', 'Saccharomyces cerevisiae']",['Sterol'],
5,10653745,A novel genetically engineered pathway for synthesis of poly(hydroxyalkanoic acids) in Escherichia coli.,2000,91890,['Escherichia coli'],['PHB/PHA'],"{'buk': ['Positive'], 'phaE': ['Positive'], 'ptb': ['Positive']}"
6,10662693,"Formation of functional heterologous complexes using subunits from the picromycin, erythromycin and oleandomycin polyketide synthases.",2000,,"['Escherichia coli', 'Saccharopolyspora erythraea']",['Macrolactone'],
7,10689078,Metabolic engineering of Alcaligenes eutrophus through the transformation of cloned phbCAB genes for the investigation of the regulatory mechanism of polyhydroxyalkanoate biosynthesis.,2000,,,['PHB/PHA'],
8,10699845,"Fermentation process kinetics. Reprinted from Journal of Biochemical Microbiological Technology and Engineering VOl. 1, No. 4 Pages 413-29 (1959).",2000,,,,
9,10708651,Protein engineering of cytochrome p450(cam) (CYP101) for the oxidation of polycyclic aromatic hydrocarbons.,2000,,['Pseudomonas putida'],['Heme'],
10,10742205,Properties of engineered poly-3-hydroxyalkanoates produced in recombinant Escherichia coli strains.,2000,91986,['Escherichia coli'],['PHB/PHA'],{'phbB': ['Positive']}
11,10742260,Engineering desiccation tolerance in Escherichia coli.,2000,92041,['Escherichia coli'],['Trehalose'],
12,10748530,Enhanced phosphorus uptake in transgenic tobacco plants that overproduce citrate.,2000,,,,
13,10753441,13C NMR evidence for pyruvate kinase flux attenuation underlying suppressed acid formation in Bacillus subtilis.,2000,,['Bacillus subtilis'],"['Carbonatom', 'Citrate3']",
14,10802621,Improving lycopene production in Escherichia coli by engineering metabolic control.,2000,,['Escherichia coli'],['Carotenoids'],
15,10803894,Metabolic engineering of carotenoid accumulation in Escherichia coli by modulation of the isoprenoid precursor pool with expression of deoxyxylulose phosphate synthase.,2000,,['Escherichia coli'],,{'dxs': ['Positive']}
16,10814169,Hybrid anthracyclines from a genetically engineered Streptomyces galilaeus mutant.,2000,,['Streptomyces galilaeus'],['Antibiotics'],
17,10814415,A short total synthesis of (+)-furanomycin.,2000,,,['Antibiotics'],
18,10818234,Genetic evidence of branching in the isoprenoid pathway for the production of isopentenyl diphosphate and dimethylallyl diphosphate in Escherichia coli.,2000,,['Escherichia coli'],"['Isopentenyldiphosphate', 'Dimethylallyldiphosphate']",
19,10820335,Production of enantiopure styrene oxide by recombinant Escherichia coli synthesizing a two-component styrene monooxygenase.,2000,,['Escherichia coli'],['Styreneoxide'],
20,10835112,Functional expression of horseradish peroxidase in Saccharomyces cerevisiae and Pichia pastoris.,2000,,"['Komagataella pastoris', 'Saccharomyces cerevisiae']",['Hrp317e12'],
21,10839169,Directed evolution of the fatty-acid hydroxylase P450 BM-3 into an indole-hydroxylating catalyst.,2000,,['Priestia megaterium'],,
22,10849005,Metabolic characterization of Lactococcus lactis deficient in lactate dehydrogenase using in vivo 13C-NMR.,2000,,['Lactococcus lactis'],['Mannitol'],{'ldh': ['Negative']}
23,10849853,Polyhydroxybutyrate production from carbon dioxide by cyanobacteria.,2000,,"['Anabaena cylindrica', 'Cupriavidus necator']",['PHB/PHA'],
24,10862673,"Recombinant protein production driven by the tryptophan promoter is tightly controlled in ICONE 200, a new genetically engineered E. coli mutant.",2000,,['Escherichia coli'],['Proteins'],
25,10862886,The role of metabolic engineering in the improvement of Saccharomyces cerevisiae: utilization of industrial media.,2000,,['Saccharomyces cerevisiae'],,
26,10862894,Lactic acid bacteria as a cell factory: rerouting of carbon metabolism in Lactococcus lactis by metabolic engineering.,2000,,['Lactococcus lactis'],,
27,10864990,HPC viability measurement: trypan blue versus acridine orange and propidium iodide.,2000,,,,
28,10888843,Molecular breeding of carotenoid biosynthetic pathways.,2000,,['Escherichia coli'],['Carotenoids'],
29,10898663,Combined effect of sourdough lactic acid bacteria and additives on bread firmness and staling.,2000,,['Saccharomyces cerevisiae'],,
30,10919325,Production of riboflavin by metabolically engineered Corynebacterium ammoniagenes.,2000,,['Corynebacterium ammoniagenes'],['Riboflavin'],
31,10919763,Engineering of the pyruvate dehydrogenase bypass in Saccharomyces cerevisiae: role of the cytosolic Mg(2+) and mitochondrial K(+) acetaldehyde dehydrogenases Ald6p and Ald4p in acetate formation during alcoholic fermentation.,2000,92127,['Saccharomyces cerevisiae'],['Acetate'],"{'ACS2': ['Positive'], 'ALD4': ['Negative'], 'PDC1': ['Negative']}"
32,10919795,"Anaerobic xylose fermentation by recombinant Saccharomyces cerevisiae carrying XYL1, XYL2, and XKS1 in mineral medium chemostat cultures.",2000,92159,['Saccharomyces cerevisiae'],['Ethanol'],
33,10931852,"Cloning, nucleotide sequence, and heterologous expression of the biosynthetic gene cluster for R1128, a non-steroidal estrogen receptor antagonist. Insights into an unusual priming mechanism.",2000,,['Streptomyces lividans'],['Fatty acids'],
34,10932161,Metabolic engineering of astaxanthin production in tobacco flowers.,2000,,,['Carotenoids'],
35,10935936,Optimization of ethanol production in Saccharomyces cerevisiae by metabolic engineering of the ammonium assimilation.,2000,,['Saccharomyces cerevisiae'],['Ethanol'],"{'GDH1': ['Positive'], 'GLN1': ['Positive'], 'GLT1': ['Positive']}"
36,10956042,Substrate specificity of the loading didomain of the erythromycin polyketide synthase.,2000,,"['Escherichia coli', 'Bacillus subtilis']",['Polyketide'],
37,10966398,Metabolic engineering of Lactobacillus helveticus CNRZ32 for production of pure L-(+)-lactic acid.,2000,92228,['Lactobacillus helveticus'],['Lactate'],{'ldhL': ['Positive']}
38,10966436,Lactococcus lactis as a cell factory for high-level diacetyl production.,2000,92266,['Lactococcus lactis'],['Butane23dione'],
39,10966444,Anhydrobiotic engineering of gram-negative bacteria.,2000,92274,"['Escherichia coli', 'Pseudomonas putida']",['Trehalose'],
40,10972798,Biosynthesis of the anti-parasitic agent megalomicin: transformation of erythromycin to megalomicin in Saccharopolyspora erythraea.,2000,,['Saccharopolyspora erythraea'],['Antibiotics'],
41,10973220,Identification of a cyclohexylcarbonyl CoA biosynthetic gene cluster and application in the production of doramectin.,2000,,['Streptomyces collinus'],['Antibiotics'],
42,11001063,Peptide cyclization catalysed by the thioesterase domain of tyrocidine synthetase.,2000,,,['Macrocyclic'],
43,11004185,Evidence of a role for LytB in the nonmevalonate pathway of isoprenoid biosynthesis.,2000,94708,"['Escherichia coli', 'Synechocystis PCC']",['Lipids'],{'lytB': ['Positive']}
44,11010904,Metabolic engineering of an aerobic sulfate reduction pathway and its application to precipitation of cadmium on the cell surface.,2000,92330,,['Excess'],
45,11013410,Use of genetically engineered Salmonella typhimurium OY1002/1A2 strain coexpressing human cytochrome P450 1A2 and NADPH-cytochrome P450 reductase and bacterial O-acetyltransferase in SOS/umu assay.,2000,,,,
46,11027301,Substrate-dependent mutant complementation to select fatty acid desaturase variants for metabolic engineering of plant seed oils.,2000,17345,['Escherichia coli'],['Unusual'],
47,11033080,Aminoacyl-SNACs as small-molecule substrates for the condensation domains of nonribosomal peptide synthetases.,2000,,,['Peptide'],
48,11048953,The biosynthetic gene cluster for the antitumor drug bleomycin from Streptomyces verticillus ATCC15003 supporting functional interactions between nonribosomal peptide synthetases and a polyketide synthase.,2000,,['Streptomyces verticillus'],['¢ve'],
49,11055930,Integrative food-grade expression system based on the lactose regulon of Lactobacillus casei.,2000,92386,['Lactobacillus casei'],['Butane23dione'],
50,11064336,Effective production of a thermostable alpha-glucosidase from Sulfolobus solfataricus in Escherichia coli exploiting a microfiltration bioreactor.,2000,,['Escherichia coli'],['Glucosidase'],
51,11080650,Effects of sugar concentration on recombinant human alpha(1)-antitrypsin production by genetically engineered rice cell.,2000,,,['1antitrypsin'],
52,11097884,Cofactor regeneration by a soluble pyridine nucleotide transhydrogenase for biological production of hydromorphone.,2000,92438,['Pseudomonas fluorescens'],['Hydromorphone'],{'sth': ['Positive']}
53,11101317,Directed evolution of metabolically engineered Escherichia coli for carotenoid production.,2000,,['Escherichia coli'],['Carotenoids'],
54,11101319,"Enhanced production of (R)-1,2-propanediol by metabolically engineered Escherichia coli.",2000,,['Escherichia coli'],['Propanediol'],
55,11101808,Increasing galactose consumption by Saccharomyces cerevisiae through metabolic engineering of the GAL gene regulatory network.,2000,,['Saccharomyces cerevisiae'],['Prototroph'],
56,11114930,Proteome analysis of metabolically engineered Escherichia coli producing Poly(3-hydroxybutyrate).,2001,94879,['Escherichia coli'],['PHB/PHA'],{'yfiD': ['Positive']}
