PMID;Title;Year;Organism;Product;Genes_and_modifications
10618204;Increased production of zeaxanthin and other pigments by application of genetic engineering techniques to Synechocystis sp. strain PCC 6803.;2000;Synechocystis sp PCC 6803;Carotenoids;{'ipi': 'Positive', 'crtO': 'Negative', 'crtP': 'Positive', 'crtR': 'Positive', 'crtB': 'Positive'}
10618209;Expression of Alcaligenes eutrophus flavohemoprotein and engineered Vitreoscilla hemoglobin-reductase fusion protein for improved hypoxic growth of Escherichia coli.;2000;Escherichia coli,Cupriavidus necator;Hemoprotein;{'vhb': 'Positive'}
10649237;Altered regulation of pyruvate kinase or co-overexpression of phosphofructokinase increases glycolytic fluxes in resting Escherichia coli.;2000;Escherichia coli;Ethanol;{'pfk': 'Positive', 'pyk': 'Positive'}
10649449;Cloning and characterization of the Yarrowia lipolytica squalene synthase (SQS1) gene and functional complementation of the Saccharomyces cerevisiae erg9 mutation.;2000;Saccharomyces cerevisiae,Yarrowia lipolytica;Sterol;{'erg9': 'Other'}
10653745;A novel genetically engineered pathway for synthesis of poly(hydroxyalkanoic acids) in Escherichia coli.;2000;Escherichia coli;PHB/PHA;{'phaC': 'Positive', 'ptb': 'Positive', 'buk': 'Positive', 'phaE': 'Positive'}
10662693;Formation of functional heterologous complexes using subunits from the picromycin, erythromycin and oleandomycin polyketide synthases.;2000;Saccharopolyspora erythraea,Escherichia coli,Streptomyces lividans,Streptomyces antibioticus;Macrolactone;{'pikAIII': 'Negative', 'pikAIV': 'Negative', 'NdeI': 'Positive', 'PKS': 'Other,Negative,Positive'}
10689078;Metabolic engineering of Alcaligenes eutrophus through the transformation of cloned phbCAB genes for the investigation of the regulatory mechanism of polyhydroxyalkanoate biosynthesis.;2000;Cupriavidus necator;PHB/PHA;
10708651;Protein engineering of cytochrome p450(cam) (CYP101) for the oxidation of polycyclic aromatic hydrocarbons.;2000;Pseudomonas putida;Heme;
10742205;Properties of engineered poly-3-hydroxyalkanoates produced in recombinant Escherichia coli strains.;2000;Escherichia coli;PHB/PHA;{'phbB': 'Positive'}
10742260;Engineering desiccation tolerance in Escherichia coli.;2000;Escherichia coli;Trehalose;{'spsA': 'Negative,Positive', 'sur': 'Positive', 'NdeI': 'Negative', 'PAO': 'Positive', 'CIP': 'Positive'}
10753441;13C NMR evidence for pyruvate kinase flux attenuation underlying suppressed acid formation in Bacillus subtilis.;2000;Bacillus subtilis;Carbonatom,Citrate3;
10802621;Improving lycopene production in Escherichia coli by engineering metabolic control.;2000;Escherichia coli;Carotenoids;
10803894;Metabolic engineering of carotenoid accumulation in Escherichia coli by modulation of the isoprenoid precursor pool with expression of deoxyxylulose phosphate synthase.;2000;Escherichia coli;;{'dxs': 'Positive', 'DXS': 'Negative,Positive'}
10814169;Hybrid anthracyclines from a genetically engineered Streptomyces galilaeus mutant.;2000;Streptomyces galilaeus;Antibiotics;
10814415;A short total synthesis of (+)-furanomycin.;2000;;Antibiotics;
10818234;Genetic evidence of branching in the isoprenoid pathway for the production of isopentenyl diphosphate and dimethylallyl diphosphate in Escherichia coli.;2000;Escherichia coli;Isopentenyldiphosphate,Dimethylallyldiphosphate;
10820335;Production of enantiopure styrene oxide by recombinant Escherichia coli synthesizing a two-component styrene monooxygenase.;2000;Escherichia coli;Styreneoxide;
10835112;Functional expression of horseradish peroxidase in Saccharomyces cerevisiae and Pichia pastoris.;2000;Saccharomyces cerevisiae,Komagataella pastoris;Hrp317e12;
10839169;Directed evolution of the fatty-acid hydroxylase P450 BM-3 into an indole-hydroxylating catalyst.;2000;Priestia megaterium;;
10849005;Metabolic characterization of Lactococcus lactis deficient in lactate dehydrogenase using in vivo 13C-NMR.;2000;Lactococcus lactis;Mannitol;{'ldh': 'Negative'}
10849853;Polyhydroxybutyrate production from carbon dioxide by cyanobacteria.;2000;Synechococcus sp,Synechococcus sp MA19,Cupriavidus necator,Synechococcus sp PCC7942,Anabaena cylindrica;PHB/PHA;
10862673;Recombinant protein production driven by the tryptophan promoter is tightly controlled in ICONE 200, a new genetically engineered E. coli mutant.;2000;Escherichia coli;Proteins;{'trpR': 'Positive'}
10862886;The role of metabolic engineering in the improvement of Saccharomyces cerevisiae: utilization of industrial media.;2000;Saccharomyces cerevisiae;;
10862894;Lactic acid bacteria as a cell factory: rerouting of carbon metabolism in Lactococcus lactis by metabolic engineering.;2000;Lactococcus lactis;;
10888843;Molecular breeding of carotenoid biosynthetic pathways.;2000;Escherichia coli;Carotenoids;
10898663;Combined effect of sourdough lactic acid bacteria and additives on bread firmness and staling.;2000;Saccharomyces cerevisiae,Lactiplantibacillus plantarum;;
