Product	Intended usage	product class
(2S)-NARINGENIN	pharmaceuticals	chalcone
(2S)-PINOCEMBRIN	food additives	phenolics
1_2-PROPANEDIOL	polymers	diols
1_3-PROPANEDIOL	polymers	diols
1_4-BUTANEDIOL	polymers	diols
1-BUTANOL	biofuels	alcohols
1-HEXADECANOL	cosmetics	alcohols,fatty acids
1-PROPANOL	biofuels	alcohols
2-(4-HYDROXYPHENYL)ETHANOL	pharmaceuticals	amino acids
2,3-BUTANEDIOL	polymers	diols
2-METHYL-1-BUTANOL	biofuels	alcohols
2-PHENYLETHANOL	food additives,cosmetics	amino acids
2-PYRONE-4_6-DICARBOXYLIC ACID	polymers	amino acids
3-HP	organic acids	organic acids
3-METHYL-1-BUTANOL	biofuels	alcohols
4-COURMARIC ACID	cosmetics	phenolics
4-HYDROXY-2(OR 5)-ETHYL-5(OR 2)-METHYL-3(2H)-FURANONE	food additives	chalcone
4-HYDROXYPHENYLACETIC ACID	pharmaceuticals	amino acids
4-HYDROXYPHENYLLACTIC ACID	pharmaceuticals	amino acids
5-AMINOLEVULINIC ACID	polymers	diamine
5-AMINOVALERATE	polymers	biopolymer
6-DEOXYERYTHRONOLIDE B	pharmaceuticals	polyketide
ABIETADIENE	pharmaceuticals	terpenoids
ACETALALDEHYDE	biofuels	aldehydes
ACETONE	biofuels	solvents
ACETYL-COA	biofuels	metabolic intermediates
ADIPIC ACID	polymers	dicarboxylic acids
A-FARNESENE	biofuels	terpenoids
ALANINE-GLUTAMINE	food additives	amino acids
ALPHA-PINENE	biofuels	terpenoids
ALPHA-SANTALENE	pharmaceuticals	terpenoids
AMINOVALERATE	polymers	biopolymer
AMORPHADIENE	pharmaceuticals	terpenoids
AMYLASE	sugars	protein
ANTEISO-BRANCHED FATTY ACIDS	biofuels	fatty acids
ANTIBODIES	pharmaceuticals	protein
ASTRAGALIN	pharmaceuticals	phenolics
AVND	pharmaceuticals	polyketide
BETA-AMYRIN	pharmaceuticals	terpenoids
BETA-CAROTENE	food additives	terpenoids
BIODIESEL	biofuels	fatty acids
BIOMASS	biomass	biomass
BISABOLENE	biofuels	terpenoids
BUTYRATE	biofuels	fatty acids
C16:0 FATTY ALCOHOLS	biofuels	alcohols
CADAVERINE	polymers	diamine
CAFFEIC ACID	food additives	phenolics
CAROTENOIDS	food additives	terpenoids
CIS-ABIENOL	pharmaceuticals	terpenoids
CUBEBOL	pharmaceuticals	terpenoids
CYTOPLASMIC DISULFIDE-BONDED PROTEINS	pharmaceuticals	protein
DAMP4 PEPTIDE	pharmaceuticals	protein
DEOXYVIOLACEIN	pharmaceuticals	chalcone
DHAP	metabolic intermediate	amino acids
D-HYDROXYISOVALERIC ACID	pharmaceuticals	amino acids
DIHYDOXYACETONE	food additives,cosmetics	metabolic intermediates
DIHYDROXYACETONE	food additives,cosmetics	metabolic intermediates
D-LACTATE	polymers,food additives	organic acids
ERIODICTYOL	food additives	phenolics
ETHANOL	biofuels	alcohols
ETHYL BUTYRATE	cosmetics	esters
ETHYLENE	polymers	hydrocarbon
ETHYLENE GLYCOL	polymers	ethylene glycol
FAEE	biofuels	fatty acids
FATTY ACIDS	biofuels	fatty acids
FERULIC ACID	cosmetics	phenolics
FLAVONOIDS	food additives,pharmaceuticals	flavanoids
FP-151 PROTEIN	pharmaceuticals	protein
FUMARIC ACID	food additives	organic acids
