Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
A distinct class of ferredoxin:NADP+ oxidoreductase enzymes driving thermophilic ethanol production,,10.1016/j.jbc.2025.110263,False,,,,Journal of Biological Chemistry,False,,
Enhancement of glutathione production in Saccharomyces cerevisiae through inverse metabolic engineering,,10.1016/j.nbt.2025.05.001,False,,,,New Biotechnology,False,,
De novo production of prenylnaringenin compounds by a metabolically engineered Escherichia coli,,10.1016/j.jbiotec.2025.05.017,False,,,,Journal of Biotechnology,False,,
Ipecac alkaloid biosynthesis in two evolutionarily distant plants,,10.1038/s41589-025-01926-z,False,,,,Nat Chem Biol,False,,
"Xylanolytic metabolism is regulated by coordination of transcription factors XynR and XylR in extremely thermophilic
            <i>Caldicellulosiruptorales</i>",,10.1128/aem.00516-25,False,,,,Appl Environ Microbiol,False,,
Microbial synthesis of polyhydroxyalkanoate blends with engineered Pseudomonas putida,,10.1016/j.nbt.2025.05.004,False,,,,New Biotechnology,False,,
Engineering Unspecific Peroxygenases for Enantioselective α‐Hydroxylation of β‐Ketoesters,,10.1002/anie.202509359,False,,,,Angew Chem Int Ed,False,,
Exploring Unspecific Peroxygenase Selectivity with Diverse Hydrocarbon Substrates,,10.1002/open.202400521,False,,,,ChemistryOpen,False,,
High glutamate demand enables simultaneous consumption of glycerol and citrate despite carbon catabolite repression in engineered Bacillus subtilis strains,,10.1016/j.ymben.2025.06.003,False,,,,Metabolic Engineering,False,,
Engineering controllable alteration of malonyl-CoA levels to enhance polyketide production,,10.1038/s41589-025-01911-6,False,,,,Nat Chem Biol,False,,
"Insights into genetic determinants of volatile fatty acid catabolism in
            <i>Cupriavidus necator</i>
            H16",,10.1128/aem.00515-25,False,,,,Appl Environ Microbiol,False,,
Comparison of Two <scp>l</scp>-Arabinose Isomerases for Multienzymatic Conversion of Lactose in Skim Milk Permeate at Neutral and Acidic pH,,10.1021/acs.jafc.5c04545,False,,,,J. Agric. Food Chem.,False,,
Systems-level analysis provides insights on methanol-based production of l-glutamate and its decarboxylation product γ-aminobutyric acid by Bacillus methanolicus,,10.1016/j.ymben.2025.06.002,False,,,,Metabolic Engineering,False,,
Investigating the Potential of Division of Labor in Synthetic Bacterial Communities for the Production of Violacein,,10.1021/acssynbio.5c00120,False,,,,ACS Synth. Biol.,False,,
Engineering genetic circuits for dynamic control of central metabolism,,10.1016/j.ymben.2025.06.007,False,,,,Metabolic Engineering,False,,
Robust engineered catalyst for the conversion of brown grease to renewable diesel <i>via</i> decarboxylation/decarbonylation,,10.1039/d5cc01451d,False,,,,Chem. Commun.,False,,
Erratum to “In vitro characterization of a nitro-forming oxygenase involved in 3-(trans-2’-aminocyclopropyl)alanine biosynthesis” [Engineering Microbiology 2 (2022) 100007],,10.1016/j.engmic.2025.100195,False,,,,Engineering Microbiology,False,,
Sequential Reconstruction of Calicheamicin γ1I Iodo‐thiobenzoate by Selective Carrier Protein Trapping Reveals a Flavin‐Dependent Iodinase,,10.1002/anie.202506825,False,,,,Angew Chem Int Ed,False,,
Efficient isoprimeverose production using an enzyme cocktail from engineered Aspergillus oryzae and yeast-assisted purification,,10.1016/j.enzmictec.2025.110698,False,,,,Enzyme and Microbial Technology,False,,
Engineering of Corynebacterium glutamicum for para-coumaric acid biosynthesis from lignocellulosic biomass,,10.1016/j.biortech.2025.132860,False,,,,Bioresource Technology,False,,
Screening system for MAA-CoA productivity using 2-methylcitrate biosensor,,10.2323/jgam.2025.05.003,False,,,,J. Gen. Appl. Microbiol.,False,,
Kinetic-model-guided engineering of multiple S. cerevisiae strains improves p-coumaric acid production,,10.1016/j.ymben.2025.06.008,False,,,,Metabolic Engineering,False,,
Sustained isobutene production by Synechocystis sp. PCC 6803 entrapped in polyvinyl alcohol hydrogel beads,,10.1016/j.biortech.2025.132870,False,,,,Bioresource Technology,False,,
Engineered C‐N Lyases for Stereoselective Synthesis of Tertiary Amines,,10.1002/anie.202507311,False,,,,Angew Chem Int Ed,False,,
Enhanced Production of Astaxanthin and Zeaxanthin by <i>Paracoccus</i> Sp. LL1 Through Random Mutagenesis,,10.1002/bab.70019,False,,,,Biotech and App Biochem,False,,
