,Title,Product_category
10618204,Increased production of zeaxanthin and other pigments by application of genetic engineering techniques to Synechocystis sp. strain PCC 6803.,['carotenoid']
10618209,Expression of Alcaligenes eutrophus flavohemoprotein and engineered Vitreoscilla hemoglobin-reductase fusion protein for improved hypoxic growth of Escherichia coli.,['hemoprotein']
10649237,Altered regulation of pyruvate kinase or co-overexpression of phosphofructokinase increases glycolytic fluxes in resting Escherichia coli.,['ethanol']
10649449,Cloning and characterization of the Yarrowia lipolytica squalene synthase (SQS1) gene and functional complementation of the Saccharomyces cerevisiae erg9 mutation.,['sterol']
10653745,A novel genetically engineered pathway for synthesis of poly(hydroxyalkanoic acids) in Escherichia coli.,['PHB/PHA']
10662693,"Formation of functional heterologous complexes using subunits from the picromycin, erythromycin and oleandomycin polyketide synthases.",['macrolactone']
10689078,Metabolic engineering of Alcaligenes eutrophus through the transformation of cloned phbCAB genes for the investigation of the regulatory mechanism of polyhydroxyalkanoate biosynthesis.,['PHB/PHA']
10708651,Protein engineering of cytochrome p450(cam) (CYP101) for the oxidation of polycyclic aromatic hydrocarbons.,['heme']
10742205,Properties of engineered poly-3-hydroxyalkanoates produced in recombinant Escherichia coli strains.,['PHB/PHA']
10742260,Engineering desiccation tolerance in Escherichia coli.,['trehalose']
10753441,13C NMR evidence for pyruvate kinase flux attenuation underlying suppressed acid formation in Bacillus subtilis.,"['carbonatom', 'citrate3']"
10802621,Improving lycopene production in Escherichia coli by engineering metabolic control.,['carotenoid']
10814169,Hybrid anthracyclines from a genetically engineered Streptomyces galilaeus mutant.,['antibiotic']
10814415,A short total synthesis of (+)-furanomycin.,['antibiotic']
10818234,Genetic evidence of branching in the isoprenoid pathway for the production of isopentenyl diphosphate and dimethylallyl diphosphate in Escherichia coli.,"['isopentenyldiphosphate', 'dimethylallyldiphosphate']"
10820335,Production of enantiopure styrene oxide by recombinant Escherichia coli synthesizing a two-component styrene monooxygenase.,['styreneoxide']
10835112,Functional expression of horseradish peroxidase in Saccharomyces cerevisiae and Pichia pastoris.,['hrp317e12']
10849005,Metabolic characterization of Lactococcus lactis deficient in lactate dehydrogenase using in vivo 13C-NMR.,['mannitol']
10849853,Polyhydroxybutyrate production from carbon dioxide by cyanobacteria.,['PHB/PHA']
10862673,"Recombinant protein production driven by the tryptophan promoter is tightly controlled in ICONE 200, a new genetically engineered E. coli mutant.",['protein']
10888843,Molecular breeding of carotenoid biosynthetic pathways.,['carotenoid']
10919325,Production of riboflavin by metabolically engineered Corynebacterium ammoniagenes.,['riboflavin']
10919763,Engineering of the pyruvate dehydrogenase bypass in Saccharomyces cerevisiae: role of the cytosolic Mg(2+) and mitochondrial K(+) acetaldehyde dehydrogenases Ald6p and Ald4p in acetate formation during alcoholic fermentation.,['acetate']
10919795,"Anaerobic xylose fermentation by recombinant Saccharomyces cerevisiae carrying XYL1, XYL2, and XKS1 in mineral medium chemostat cultures.",['ethanol']
