,Gene,Paper_ID,Classification,EC_numbers,Reaction_Group,Title,Organism
0,AAE,8268,Positive,['6.2.1.1'],ACS_1,Complete biosynthesis of cannabinoids and their unnatural analogues in yeast.,['Saccharomyces cerevisiae']
1,AAT1,13075,Negative,['2.6.1.1'],ALATA_L_1,A DNA assembly toolkit to unlock the CRISPR/Cas9 potential for metabolic engineering.,"['Yarrowia lipolytica', 'Escherichia coli']"
2,AAT1,13075,Negative,['2.6.1.1'],ASPTA_1,A DNA assembly toolkit to unlock the CRISPR/Cas9 potential for metabolic engineering.,"['Yarrowia lipolytica', 'Escherichia coli']"
3,AAT1,13075,Negative,['2.6.1.1'],TYRTA_1,A DNA assembly toolkit to unlock the CRISPR/Cas9 potential for metabolic engineering.,"['Yarrowia lipolytica', 'Escherichia coli']"
4,AAT1,13075,Negative,['2.6.1.1'],LEUTAi_1,A DNA assembly toolkit to unlock the CRISPR/Cas9 potential for metabolic engineering.,"['Yarrowia lipolytica', 'Escherichia coli']"
5,AAT1,13075,Negative,['2.6.1.1'],PHETA1_1,A DNA assembly toolkit to unlock the CRISPR/Cas9 potential for metabolic engineering.,"['Yarrowia lipolytica', 'Escherichia coli']"
6,AAT2,4115,Positive,['2.6.1.1'],ALATA_L_1,Establishing a synthetic pathway for high-level production of 3-hydroxypropionic acid in Saccharomyces cerevisiae via β-alanine.,['Saccharomyces cerevisiae']
7,AAT2,4115,Positive,['2.6.1.1'],ASPTA_1,Establishing a synthetic pathway for high-level production of 3-hydroxypropionic acid in Saccharomyces cerevisiae via β-alanine.,['Saccharomyces cerevisiae']
8,AAT2,4115,Positive,['2.6.1.1'],TYRTA_1,Establishing a synthetic pathway for high-level production of 3-hydroxypropionic acid in Saccharomyces cerevisiae via β-alanine.,['Saccharomyces cerevisiae']
9,AAT2,4115,Positive,['2.6.1.1'],LEUTAi_1,Establishing a synthetic pathway for high-level production of 3-hydroxypropionic acid in Saccharomyces cerevisiae via β-alanine.,['Saccharomyces cerevisiae']
10,AAT2,4115,Positive,['2.6.1.1'],PHETA1_1,Establishing a synthetic pathway for high-level production of 3-hydroxypropionic acid in Saccharomyces cerevisiae via β-alanine.,['Saccharomyces cerevisiae']
11,AAT2,7146,Negative,['2.6.1.1'],ALATA_L_1,Improving the flux distributions simulated with genome-scale metabolic models of <i>Saccharomyces cerevisiae</i>.,['Saccharomyces cerevisiae']
12,AAT2,7146,Negative,['2.6.1.1'],ASPTA_1,Improving the flux distributions simulated with genome-scale metabolic models of <i>Saccharomyces cerevisiae</i>.,['Saccharomyces cerevisiae']
13,AAT2,7146,Negative,['2.6.1.1'],TYRTA_1,Improving the flux distributions simulated with genome-scale metabolic models of <i>Saccharomyces cerevisiae</i>.,['Saccharomyces cerevisiae']
14,AAT2,7146,Negative,['2.6.1.1'],LEUTAi_1,Improving the flux distributions simulated with genome-scale metabolic models of <i>Saccharomyces cerevisiae</i>.,['Saccharomyces cerevisiae']
15,AAT2,7146,Negative,['2.6.1.1'],PHETA1_1,Improving the flux distributions simulated with genome-scale metabolic models of <i>Saccharomyces cerevisiae</i>.,['Saccharomyces cerevisiae']
16,AAT2,7717,Negative,['2.6.1.1'],ALATA_L_1,Impact of forced fatty acid synthesis on metabolism and physiology of Saccharomyces cerevisiae.,['Saccharomyces cerevisiae']
17,AAT2,7717,Negative,['2.6.1.1'],ASPTA_1,Impact of forced fatty acid synthesis on metabolism and physiology of Saccharomyces cerevisiae.,['Saccharomyces cerevisiae']
18,AAT2,7717,Negative,['2.6.1.1'],TYRTA_1,Impact of forced fatty acid synthesis on metabolism and physiology of Saccharomyces cerevisiae.,['Saccharomyces cerevisiae']
19,AAT2,7717,Negative,['2.6.1.1'],LEUTAi_1,Impact of forced fatty acid synthesis on metabolism and physiology of Saccharomyces cerevisiae.,['Saccharomyces cerevisiae']
20,AAT2,7717,Negative,['2.6.1.1'],PHETA1_1,Impact of forced fatty acid synthesis on metabolism and physiology of Saccharomyces cerevisiae.,['Saccharomyces cerevisiae']
21,AAT2,9281,Positive,['2.6.1.1'],ALATA_L_1,<i>De novo</i> Biosynthesis of Odd-Chain Fatty Acids in <i>Yarrowia lipolytica</i> Enabled by Modular Pathway Engineering.,['Yarrowia lipolytica']
22,AAT2,9281,Positive,['2.6.1.1'],ASPTA_1,<i>De novo</i> Biosynthesis of Odd-Chain Fatty Acids in <i>Yarrowia lipolytica</i> Enabled by Modular Pathway Engineering.,['Yarrowia lipolytica']
23,AAT2,9281,Positive,['2.6.1.1'],TYRTA_1,<i>De novo</i> Biosynthesis of Odd-Chain Fatty Acids in <i>Yarrowia lipolytica</i> Enabled by Modular Pathway Engineering.,['Yarrowia lipolytica']
24,AAT2,9281,Positive,['2.6.1.1'],LEUTAi_1,<i>De novo</i> Biosynthesis of Odd-Chain Fatty Acids in <i>Yarrowia lipolytica</i> Enabled by Modular Pathway Engineering.,['Yarrowia lipolytica']
25,AAT2,9281,Positive,['2.6.1.1'],PHETA1_1,<i>De novo</i> Biosynthesis of Odd-Chain Fatty Acids in <i>Yarrowia lipolytica</i> Enabled by Modular Pathway Engineering.,['Yarrowia lipolytica']
26,AAT2,13075,Negative,['2.6.1.1'],ALATA_L_1,A DNA assembly toolkit to unlock the CRISPR/Cas9 potential for metabolic engineering.,"['Yarrowia lipolytica', 'Escherichia coli']"
27,AAT2,13075,Negative,['2.6.1.1'],ASPTA_1,A DNA assembly toolkit to unlock the CRISPR/Cas9 potential for metabolic engineering.,"['Yarrowia lipolytica', 'Escherichia coli']"
