,Title,Organism,EC_gene
3,Altered regulation of pyruvate kinase or co-overexpression of phosphofructokinase increases glycolytic fluxes in resting Escherichia coli.,['Escherichia coli'],"{'pyk': {'EC_numbers': ['2.7.1.40'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}}"
5,A novel genetically engineered pathway for synthesis of poly(hydroxyalkanoic acids) in Escherichia coli.,['Escherichia coli'],"{'buk': {'EC_numbers': ['2.7.2.7'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}, 'ptb': {'EC_numbers': ['2.3.1.19'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}, 'phaE': {'EC_numbers': ['6.2.1.30', '4.2.1.17'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}}"
10,Properties of engineered poly-3-hydroxyalkanoates produced in recombinant Escherichia coli strains.,['Escherichia coli'],"{'phbB': {'EC_numbers': ['1.1.1.36'], 'Classified_Modifications': [{'mod': 'introduct', 'class': 'Positive'}]}}"
15,Metabolic engineering of carotenoid accumulation in Escherichia coli by modulation of the isoprenoid precursor pool with expression of deoxyxylulose phosphate synthase.,['Escherichia coli'],"{'dxs': {'EC_numbers': ['2.2.1.7'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}}"
22,Metabolic characterization of Lactococcus lactis deficient in lactate dehydrogenase using in vivo 13C-NMR.,['Lactococcus lactis'],"{'ldh': {'EC_numbers': ['1.1.1.27'], 'Classified_Modifications': [{'mod': 'disrupt', 'class': 'Negative'}]}}"
31,Engineering of the pyruvate dehydrogenase bypass in Saccharomyces cerevisiae: role of the cytosolic Mg(2+) and mitochondrial K(+) acetaldehyde dehydrogenases Ald6p and Ald4p in acetate formation during alcoholic fermentation.,['Saccharomyces cerevisiae'],"{'ACS2': {'EC_numbers': ['6.2.1.1'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}, 'PDC1': {'EC_numbers': ['4.1.1.74', '4.1.1.43', '4.1.1.72'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}, 'ALD4': {'EC_numbers': ['1.2.1.3', '1.2.1.4'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}}"
35,Optimization of ethanol production in Saccharomyces cerevisiae by metabolic engineering of the ammonium assimilation.,['Saccharomyces cerevisiae'],"{'GLT1': {'EC_numbers': ['1.4.1.14'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}, 'GLN1': {'EC_numbers': ['6.3.1.2'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}, 'GDH1': {'EC_numbers': ['1.4.1.4'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}}"
37,Metabolic engineering of Lactobacillus helveticus CNRZ32 for production of pure L-(+)-lactic acid.,['Lactobacillus helveticus'],"{'ldhL': {'EC_numbers': ['1.1.1.27'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}}"
43,Evidence of a role for LytB in the nonmevalonate pathway of isoprenoid biosynthesis.,"['Escherichia coli', 'Synechocystis PCC']","{'lytB': {'EC_numbers': ['1.17.7.4'], 'Classified_Modifications': [{'mod': 'enhanc', 'class': 'Positive'}]}}"
52,Cofactor regeneration by a soluble pyridine nucleotide transhydrogenase for biological production of hydromorphone.,['Pseudomonas fluorescens'],"{'sth': {'EC_numbers': ['1.6.1.1'], 'Classified_Modifications': [{'mod': 'introduc', 'class': 'Positive'}, {'mod': 'enhanc', 'class': 'Positive'}]}}"
